,GameId,Year,Round,Date,MaxTemp,MinTemp,Rainfall,Venue,StartTime,Attendance,HomeTeam,HomeTeamScoreQT,HomeTeamScoreHT,HomeTeamScore3QT,HomeTeamScoreFT,HomeTeamScore,AwayTeam,AwayTeamScoreQT,AwayTeamScoreHT,AwayTeamScore3QT,AwayTeamScoreFT,AwayTeamScore,longitude,latitude
63,2012R0801,2012,R8,18/5/2012,17.2,8.8,0.0,M.C.G.,7:50 pm,"75,650",Collingwood,3.6,7.9,10.11,14.12,96,Geelong,2.4,6.6,7.12,11.18,84,144.983032,-37.818439
64,2012R0802,2012,R8,19/5/2012,17.0,8.3,3.0,Football Park,1:15 pm,"14,508",Port Adelaide,5.1,6.2,8.6,14.11,95,North Melbourne,4.1,7.5,11.9,14.9,93,149.11195,-35.24852
65,2012R0803,2012,R8,19/5/2012,16.1,6.2,3.2,York Park,2:10 pm,"12,959",Hawthorn,2.4,10.9,13.12,17.17,119,Fremantle,0.3,2.6,7.8,9.9,63,149.11195,-35.24852
66,2012R0804,2012,R8,19/5/2012,22.2,10.2,2.0,S.C.G.,4:40 pm,"20,818",Sydney,7.1,11.4,16.9,21.12,138,Melbourne,0.3,1.5,2.7,5.7,37,149.11195,-35.24852
67,2012R0805,2012,R8,19/5/2012,32.1,19.8,0.0,Marrara Oval,7:10 pm,"8,724",Western Bulldogs,1.3,2.6,6.12,9.18,72,Gold Coast,1.5,2.9,3.1,4.1,34,153.08751,-27.48927
68,2012R0806,2012,R8,19/5/2012,14.4,10.5,1.8,M.C.G.,7:50 pm,"80,900",Essendon,6.2,12.7,16.9,19.14,128,Richmond,4.2,6.8,11.16,15.19,109,144.983032,-37.818439
69,2012R0807,2012,R8,20/5/2012,24.0,11.3,0.0,Gabba,1:10 pm,"16,049",Brisbane Lions,7.3,10.9,13.14,19.18,132,Greater Western Sydney,1.2,3.5,4.5,5.1,40,145.6925,-36.2155
70,2012R0808,2012,R8,20/5/2012,15.2,4.8,0.2,Docklands,3:15 pm,"35,917",Carlton,5.2,5.4,7.6,8.7,55,Adelaide,4.5,9.6,13.9,19.1,124,144.94846,-37.81835
71,2012R0809,2012,R8,20/5/2012,26.5,9.2,0.0,Subiaco,2:40 pm,"38,174",West Coast,6.2,13.6,15.7,18.13,121,St Kilda,1.4,5.5,11.1,13.13,91,115.82576,-31.94447
72,2012R0901,2012,R9,25/5/2012,10.8,8.4,4.0,Docklands,7:50 pm,"29,118",Western Bulldogs,1.1,6.2,8.5,11.9,75,Geelong,3.5,6.9,9.9,14.11,95,144.94846,-37.81835
73,2012R0902,2012,R9,26/5/2012,16.0,7.6,28.0,M.C.G.,1:45 pm,"51,617",Richmond,4.4,8.8,13.9,21.11,137,Hawthorn,1.3,4.9,8.1,10.15,75,144.983032,-37.818439
74,2012R0903,2012,R9,26/5/2012,21.0,11.4,8.2,Carrara,2:10 pm,"12,416",Gold Coast,2.5,7.6,7.8,10.1,70,Port Adelaide,4.4,7.7,14.14,17.16,118,153.35075,-28.00514
75,2012R0904,2012,R9,26/5/2012,16.0,7.6,28.0,Docklands,4:40 pm,"34,737",St Kilda,3.1,8.7,14.14,16.15,111,Sydney,4.4,5.4,8.6,12.11,83,144.94846,-37.81835
76,2012R0905,2012,R9,26/5/2012,16.9,11.1,7.2,Football Park,7:10 pm,"44,238",Adelaide,3.1,4.5,6.1,6.13,49,Collingwood,3.2,5.6,5.1,10.15,75,149.11195,-35.24852
77,2012R0906,2012,R9,26/5/2012,17.4,7.7,0.2,Sydney Showground,7:40 pm,"11,887",Greater Western Sydney,0.5,2.9,4.11,7.11,53,Essendon,3.1,8.1,13.8,18.11,119,151.18964,-33.70497
78,2012R0907,2012,R9,27/5/2012,14.5,8.8,4.6,Docklands,1:10 pm,"19,988",North Melbourne,6.4,13.8,15.8,17.1,112,Brisbane Lions,3.2,5.4,11.6,15.6,96,144.94846,-37.81835
79,2012R0908,2012,R9,27/5/2012,14.5,8.8,4.6,M.C.G.,3:15 pm,"28,371",Carlton,3.3,7.8,8.14,15.17,107,Melbourne,3.4,5.7,6.1,6.13,49,144.983032,-37.818439
80,2012R0909,2012,R9,27/5/2012,24.5,6.2,0.0,Subiaco,2:40 pm,"40,905",West Coast,0.4,2.8,7.14,11.18,84,Fremantle,1.1,3.2,3.3,5.6,36,115.82576,-31.94447
81,2012R1001,2012,R10,1/6/2012,16.1,3.1,0.0,Docklands,7:50 pm,"49,337",St Kilda,3.4,9.6,10.14,16.17,113,Richmond,3.7,9.8,12.11,18.13,121,144.94846,-37.81835
82,2012R1002,2012,R10,2/6/2012,16.2,3.8,0.0,Kardinia Park,1:45 pm,"17,243",Geelong,4.2,7.3,13.8,19.12,126,Greater Western Sydney,4.2,7.3,8.5,9.7,61,117.797531,-22.69459
83,2012R1003,2012,R10,2/6/2012,12.7,4.5,0.0,York Park,2:10 pm,"16,143",Hawthorn,5.2,12.5,20.1,27.12,174,North Melbourne,4.1,6.4,7.4,9.5,59,149.11195,-35.24852
84,2012R1004,2012,R10,2/6/2012,20.6,7.4,0.0,Subiaco,2:40 pm,"31,392",Fremantle,3.3,6.6,10.9,12.1,82,Adelaide,5.2,10.5,12.6,17.9,111,115.82576,-31.94447
85,2012R1005,2012,R10,2/6/2012,19.1,9.8,0.0,Football Park,7:10 pm,"24,746",Port Adelaide,5.2,9.4,10.9,14.15,99,Carlton,3.1,4.2,5.6,6.9,45,149.11195,-35.24852
86,2012R1006,2012,R10,2/6/2012,15.4,2.1,0.0,M.C.G.,7:40 pm,"42,987",Essendon,1.5,2.9,5.13,6.16,52,Melbourne,1.2,4.3,5.5,8.1,58,144.983032,-37.818439
87,2012R1007,2012,R10,3/6/2012,22.9,16.4,26.4,Gabba,1:10 pm,"15,546",Brisbane Lions,3.3,7.4,8.5,16.6,102,West Coast,2.1,5.5,10.7,15.1,100,145.6925,-36.2155
88,2012R1008,2012,R10,3/6/2012,15.7,14.0,28.7,S.C.G.,3:15 pm,"13,505",Sydney,9.0,10.5,16.9,20.12,132,Western Bulldogs,1.1,3.1,4.5,5.1,40,149.11195,-35.24852
89,2012R1009,2012,R10,3/6/2012,13.3,5.6,0.8,M.C.G.,4:40 pm,"36,913",Collingwood,5.4,12.6,18.9,23.11,149,Gold Coast,3.1,5.3,5.7,7.1,52,144.983032,-37.818439
90,2012R1101,2012,R11,8/6/2012,13.1,8.1,0.0,Docklands,7:50 pm,"47,632",Carlton,4.4,6.6,9.1,11.19,85,Geelong,2.2,5.7,10.1,14.13,97,144.94846,-37.81835
91,2012R1102,2012,R11,9/6/2012,11.9,9.0,6.2,M.C.G.,1:40 pm,"43,801",Richmond,5.2,6.3,8.8,9.12,66,Fremantle,4.1,7.3,9.6,12.6,78,144.983032,-37.818439
92,2012R1103,2012,R11,9/6/2012,20.7,14.7,0.4,Carrara,4:40 pm,"12,534",Gold Coast,1.3,3.4,6.6,7.7,49,St Kilda,4.3,10.6,15.12,21.18,144,153.35075,-28.00514
93,2012R1104,2012,R11,9/6/2012,11.9,9.0,6.2,Docklands,7:40 pm,"42,785",Essendon,1.5,1.11,2.15,11.16,82,Sydney,5.3,8.6,11.8,13.8,86,144.94846,-37.81835
94,2012R1105,2012,R11,10/6/2012,14.6,2.2,0.0,Football Park,4:10 pm,"26,638",Port Adelaide,3.3,4.7,5.7,9.8,62,Hawthorn,7.4,9.8,12.11,16.12,108,149.11195,-35.24852
95,2012R1106,2012,R11,11/6/2012,12.7,1.3,0.0,M.C.G.,3:15 pm,"64,250",Melbourne,0.4,3.4,7.7,13.9,87,Collingwood,6.3,8.9,10.15,19.15,129,144.983032,-37.818439
